API区分,試算番号,バージョン,自動更新,アカウント名（契約先/納入先）,請求先（受注先）
I,QJ00684956,001,,1000027897,1000027897
I,QJ00691467,001,,1000092117,1000092117
I,QJ00692294,001,,1000006469,1000006469
I,QJ00698548,001,,1000019878,1000019796
I,QJ00699181,001,,1000013247,1000005077
I,QJ00700736,001,,1000020285,1000325322
I,QJ00704017,001,X,1000320485,1000320485
I,QJ00705653,001,,1000005679,1000005679
I,QJ00706099,001,,1000013090,1000013090
I,QJ00707633,001,,1000325327,1000020102
I,QJ00708643,001,X,1000045025,1000025821
I,QJ00708698,001,,1000160679,1000009178
I,QJ00708887,001,,1000027943,1000018689
I,QJ00713384,001,,1000074727,1000015013
I,QJ00714912,001,,1000046752,1000017978
I,QJ00715596,001,,1000005688,1000005688
I,QJ00716456,001,,1000019689,1000019689
I,QJ00719172,001,,1000032307,1000032307
I,QJ00721207,001,X,1000077039,1000017665
I,QJ00723810,001,,1000072230,1000029287
I,QJ00724492,001,,1000317101,1000317101
I,QJ00726578,001,,1000007766,1000007778
I,QJ00727047,001,,1000316138,1000316138
I,QJ00727667,001,,1000017619,1000017619
I,QJ00731484,001,,1000076953,1000029287
I,QJ00732894,001,,1000016251,1000016251
I,QJ00742540,001,,1000281268,1000281268
I,QJ00743990,001,X,1000318406,1000318406
I,QJ00744671,001,,1000010075,1000010075
I,QJ00744945,001,,1000315223,1000024220
I,QJ00753993,001,,1000311887,1000311887
I,QJ00760074,001,,1000020103,1000020103
I,QJ00760085,001,,1000310465,1000032165
I,QJ00761085,001,,1000019395,1000019395
I,QJ00762091,001,,1000324201,1000033324
I,QJ00764791,001,,1000019847,1000019821
I,QJ00766700,001,,1000012468,1000032613
I,QJ00767308,001,,1000183211,1000306064
I,QJ00767546,001,,1000013203,1000013203
I,QJ00771128,001,,1000083586,1000013980
I,QJ00773334,001,,1000021111,1000021111
I,QJ00775535,001,,1000020304,1000020304
I,QJ00775949,001,,1000011809,1000029388
I,QJ00777683,001,,1000026215,1000003262
I,QJ00778774,001,,1000319421,1000017665
I,QJ00779284,001,,1000040594,1000025757
I,QJ00779620,001,,1000026562,1000026562
I,QJ00784254,001,,1000311618,1000311618
I,QJ00793342,001,,1000080759,1000025231
I,QJ00796388,001,,1000187543,1000187543
I,QJ00800600,001,,1000025991,1000311817
I,QJ00800894,001,,1000002108,1000002108
I,QJ00802740,001,,1000003377,1000003250
I,QJ00807867,001,,1000049747,1000030966
I,QJ00810138,001,,1000019924,1000011646
I,QJ00813989,001,,1000049489,1000029101
I,QJ00814014,001,,1000320825,1000320825
I,QJ00820226,001,,1000003202,1000003202
I,QJ00820351,001,,1000018073,1000018073
I,QJ00820628,001,,1000093127,1000010085
I,QJ00821852,001,,1000011425,1000011425
I,QJ00821864,001,,1000024370,1000024370
I,QJ00822016,001,,1000310500,1000019796
I,QJ00825228,001,,1000004174,1000031123
I,QJ00825414,001,,1000026859,1000026859
I,QJ00825974,001,,1000074668,1000028450
I,QJ00827487,001,,1000018608,1000018608
I,QJ00828014,001,,1000082084,1000028173
I,QJ00828227,001,,1000021526,1000021526
I,QJ00832855,001,,1000079383,1000027511
I,QJ00833607,001,,1000015854,1000015854
I,QJ00836087,001,,1000051062,1000037349
I,QJ00838987,001,,1000050473,1000027783
I,QJ00839008,001,,1000075733,1000032358
I,QJ00839011,001,,1000199904,1000199904
I,QJ00840336,001,,1000006245,1000006245
I,QJ00842750,001,,1000218736,1000024404
I,QJ00843596,001,,1000006314,1000006314
I,QJ00844316,001,,1000033868,1000033868
I,QJ00846298,001,,1000006245,1000006245
I,QJ00846987,001,,1000014171,1000014171
I,QJ00849717,001,,1000024016,1000024016
I,QJ00849927,001,,1000072289,1000003085
I,QJ00851079,001,,1000001629,1000001629
I,QJ00852729,001,,1000023832,1000023813
I,QJ00854905,001,,1000000471,1000000471
I,QJ00855871,001,,1000192951,1000192951
I,QJ00856591,001,,1000021551,1000028884
I,QJ00856711,001,,1000072197,1000004601
I,QJ00856831,001,,1000003202,1000003202
I,QJ00857411,001,,1000320284,1000031751
I,QJ00859693,001,,1000081934,1000000454
I,QJ00859733,001,,1000013009,1000006138
I,QJ00863314,001,,1000016560,1000016560
I,QJ00864713,001,,1000037767,1000002008
I,QJ00867512,001,,1000045680,1000045680
I,QJ00870399,001,,1000012925,1000012925
I,QJ00872537,001,,1000320235,1000318171
I,QJ00874064,001,,1000003779,1000032321
I,QJ00874469,001,,1000006557,1000006557
I,QJ00878072,001,,1000317199,1000320163
I,QJ00878322,001,,1000013119,1000013119
I,QJ00878856,001,,1000011335,1000011335
I,QJ00880902,001,,1000321331,1000029101
I,QJ00880949,001,,1000321181,1000321181
I,QJ00881241,001,,1000076212,1000008191
I,QJ00883079,001,,1000025442,1000025442
I,QJ00887612,001,,1000038074,1000038074
I,QJ00891183,001,,1000319153,1000319153
I,QJ00891390,001,,1000025091,1000033336
I,QJ00891773,001,,1000325571,1000020544
I,QJ00891845,001,,1000045488,1000024418
I,QJ00895491,001,,1000007541,1000007541
I,QJ00901603,001,,1000023878,1000023878
I,QJ00902613,001,,1000023857,1000023857
I,QJ00906630,001,,1000006432,1000006432
I,QJ00907043,001,,1000024633,1000028715
I,QJ00910221,001,,1000050440,1000005090
I,QJ00912478,001,,1000320899,1000009684
I,QJ00915113,001,,1000010357,1000010357
I,QJ00917751,001,,1000013959,1000013959
I,QJ00922239,001,,1000073012,1000029287
I,QJ00924320,001,,1000027308,1000027308
I,QJ00926308,001,,1000005122,1000005122
I,QJ00930530,001,,1000169957,1000169957
I,QJ00934507,001,,1000016374,1000016374
I,QJ00939009,001,,1000329681,1000032445
I,QJ00939766,001,,1000315266,1000315266
I,QJ00949628,001,X,1000315217,1000022846
I,QJ00949797,001,,1000001121,1000330970
I,QJ00950403,001,,1000008135,1000008135
I,QJ00951225,001,,1000021446,1000021446
I,QJ00951700,001,X,1000014739,1000014739
I,QJ00955887,001,,1000042014,1000042014
I,QJ00956761,001,,1000270567,1000031452
I,QJ00960952,001,,1000329652,1000318171
I,QJ00966731,001,X,1000039530,1000016612
I,QJ00966736,001,,1000014668,1000014668
I,QJ00967101,001,,1000183227,1000183227
I,QJ00967829,001,,1000288290,1000288290
I,QJ00970466,001,,1000014120,1000014120
I,QJ00970500,001,X,1000013051,1000013051
I,QJ00970910,001,,1000010627,1000013568
I,QJ00971838,001,,1000050296,1000006439
I,QJ00974030,001,,1000091939,1000331245
I,QJ00974890,001,,1000314564,1000018837
I,QJ00975381,001,X,1000050792,1000038169
I,QJ00975449,001,,1000012457,1000012457
I,QJ00976001,001,,1000019911,1000019911
I,QJ00976719,001,X,1000023281,1000023281
I,QJ00978044,001,X,1000096799,1000096799
I,QJ00978413,001,,1000281268,1000281268
I,QJ00981212,001,X,1000023292,1000023292
I,QJ00981299,001,,1000032279,1000032279
I,QJ00981512,001,,1000083242,1000083242
I,QJ00981642,001,,1000025771,1000025771
I,QJ00981647,001,,1000004048,1000004048
I,QJ00981874,001,,1000015083,1000015083
I,QJ00982597,001,,1000300604,1000005491
I,QJ00983152,001,,1000228907,1000228907
I,QJ00984935,001,,1000013600,1000312088
I,QJ00985628,001,,1000008077,1000032631
I,QJ00987599,001,X,1000213858,1000023813
I,QJ00992101,001,X,1000014785,1000031633
I,QJ00994564,001,,1000320088,1000032165
I,QJ00994569,001,,1000079554,1000032246
I,QJ00996343,001,,1000082829,1000082829
I,QJ00999533,001,,1000006583,1000002918
I,QJ00999979,001,,1000233980,1000233980
I,QJ01000175,001,,1000328047,1000029255
I,QJ01003041,001,,1000012077,1000012077
I,QJ01004504,001,,1000050025,1000023315
I,QJ01005093,001,,1000009555,1000009555
I,QJ01005094,001,,1000223015,1000223015
I,QJ01011174,001,,1000021726,1000021726
I,QJ01016095,001,,1000019879,1000019879
I,QJ01016122,001,,1000079532,1000005083
I,QJ01017125,001,,1000321331,1000029101
I,QJ01020680,001,,1000318177,1000318177
I,QJ01022436,001,,1000071230,1000020544
I,QJ01023441,001,,1000083525,1000025829
I,QJ01031972,001,,1000032229,1000032229
I,QJ01031975,001,,1000075530,1000014603
I,QJ01036426,001,,1000017096,1000017096
I,QJ01038260,001,,1000009417,1000027157
I,QJ01039630,001,X,1000044768,1000031633
I,QJ01039776,001,,1000042358,1000042358
I,QJ01039864,001,,1000002995,1000028384
I,QJ01041571,001,,1000005423,1000332734
I,QJ01043945,001,,1000015506,1000015506
I,QJ01047475,001,,1000079759,1000024404
I,QJ01047801,001,,1000018803,1000026285
I,QJ01048079,001,,1000049113,1000023160
I,QJ01049048,001,,1000076021,1000031452
I,QJ01050521,001,X,1000332686,1000031572
I,QJ01050813,001,,1000162736,1000003772
I,QJ01054228,001,,1000012167,1000012166
I,QJ01057615,001,,1000071605,1000004398
I,QJ01063065,001,,1000043363,1000023315
I,QJ01064418,001,,1000332424,1000006765
I,QJ01073910,001,,1000023832,1000023813
I,QJ01084417,001,,1000306247,1000306247
I,QJ01087167,001,,1000023596,1000005646
I,QJ01088815,001,,1000013237,1000013237
I,QJ01090125,001,,1000019880,1000029296
I,QJ01092501,001,X,1000000934,1000000934
I,QJ01093369,001,,1000010608,1000013568
I,QJ01097648,001,,1000289905,1000289905
I,QJ01098247,001,,1000007994,1000020544
I,QJ01101500,001,,1000020754,1000031493
I,QJ01103959,001,,1000014221,1000014221
I,QJ01105154,001,,1000006988,1000006988
I,QJ01109044,001,,1000041908,1000008050
I,QJ01110516,001,,1000025061,1000027532
I,QJ01113854,001,,1000012171,1000012171
I,QJ01116737,001,,1000041070,1000028450
I,QJ01116738,001,,1000074668,1000028450
I,QJ01122107,001,,1000143256,1000032690
I,QJ01126475,001,,1000013238,1000013238
I,QJ01129251,001,,1000005351,1000005351
I,QJ01136276,001,,1000327828,1000327828
I,QJ01140894,001,X,1000026481,1000026481
I,QJ01142573,001,X,1000006232,1000006248
I,QJ01143489,001,,1000015803,1000028221
I,QJ01151544,001,X,1000026486,1000026486
I,QJ01151583,001,,1000022945,1000018183
I,QJ01154730,001,,1000023325,1000328988
I,QJ01155651,001,,1000136718,1000259897
I,QJ01155667,001,,1000326153,1000008050
I,QJ01156784,001,,1000012000,1000031123
I,QJ01157573,001,,1000316797,1000029101
I,QJ01164027,001,,1000023768,1000023768
I,QJ01193096,001,,1000026174,1000030580
I,QJ01202797,001,,1000040597,1000037265
I,QJ01221144,001,,1000045462,1000025389
I,QJ01236617,001,X,1001000495,1001000444
I,QJ01246117,001,X,1000012120,1001000444
I,QJ01248882,001,,1000025378,1000025378
I,QJ01258767,001,,1000023711,1000023711
I,QJ01259349,001,,1000076764,1000028884
I,QJ01260195,001,X,1000017769,1001000444
I,QJ01277992,001,X,1000014718,1000025362
I,QJ01281482,001,,1000028613,1000028613
I,QJ01286481,001,X,1000014827,1000014827
I,QJ01297411,001,,1000014805,1000025389
I,QJ01305616,001,,1000014776,1000014776
I,QJ01306446,001,,1000025464,1000025464
I,QJ01320543,001,,1000015055,1000015055
I,QJ01327692,001,,1000017541,1000017541
I,QJ01339475,001,,1000011879,1000011931
I,QJ01343926,001,,1000025875,1000119709
I,QJ01351739,001,,1001000123,1000033689
I,QJ01353288,001,,1000335285,1000033719
I,QJ01354183,001,,1000009752,1000009794
I,QJ01354563,001,,1001002660,1000029101
I,QJ01354797,001,X,1000021551,1000028884
I,QJ01356179,001,,1001001274,1000000454
I,QJ01362729,001,,1001002290,1000147476
I,QJ01363150,001,,1000049780,1000333743
