試算番号（明細）,バージョン1,PLANID,品目コード,基本数量単位,数量,販売伝票通貨,標準単価,□S販売単価,契約開始日,契約終了日,解約日,契約期間数,更新期間数,HARIS伝票区分,受注伝票番号,受注明細番号,□前受注伝票番号,□前受注明細番号
QJ00534216,,,UX141C3,個,1,JPY,0,,2013/8/1,2018/7/31,,60,0,1,560744,2600,,
QJ00534515,,,UX14393,個,1,JPY,0,,2013/7/1,2018/6/30,,60,0,1,536786,2500,,
QJ00534568,,,UX14383,個,1,JPY,0,,2013/8/1,2018/7/31,,60,0,1,534801,100,,
QJ00534683,,,UXA40T2,個,1,JPY,0,,2013/8/6,2018/7/5,,59,0,1,560488,1800,,
QJ00535176,,,UX14383,個,1,JPY,0,,2013/9/2,2018/8/31,,60,0,1,535176,1700,,
QJ00535363,,,UX14383,個,1,JPY,0,,2013/8/1,2018/7/31,,60,0,1,539823,2100,,
QJ00535845,,,UX14383,個,1,JPY,0,,2013/9/1,2018/8/31,,60,0,1,541021,2000,,
QJ00537851,,,UX14383,個,1,JPY,0,,2013/7/25,2018/7/24,,60,0,1,537897,100,,
QJ00539538,,,UX14403,個,1,JPY,0,,2013/8/1,2018/7/31,,60,0,1,550235,100,,
QJ00539738,,,UX14383,個,1,JPY,0,,2013/7/30,2018/6/30,,59,0,1,575205,100,,
QJ00539791,,,UX14393,個,1,JPY,0,,2013/8/1,2018/7/31,,60,0,1,539791,400,,
QJ00540379,,,UX14393,個,1,JPY,0,,2013/8/1,2018/7/31,,60,0,1,540830,100,,
QJ00541364,,,UX14383,個,1,JPY,0,,2013/9/1,2018/8/31,,60,0,1,586245,3700,,
QJ00542246,,,UX14383,個,1,JPY,0,,2013/9/1,2018/8/31,,60,0,1,549643,1700,,
QJ00542531,,,UX14383,個,1,JPY,0,,2013/8/1,2018/7/31,,60,0,1,543583,100,,
QJ00542574,,,UX14383,個,1,JPY,0,,2013/8/1,2018/7/31,,60,0,1,551969,2400,,
QJ00542635,,,UX142H2,個,1,JPY,0,,2013/7/1,2017/10/31,,52,0,1,542645,200,,
QJ00542635,,,UX142E2,個,1,JPY,0,,2013/7/1,2017/10/31,,52,0,1,542645,300,,
