試算番号（明細）,バージョン1,PLANID,品目コード,基本数量単位,数量,販売伝票通貨,標準単価,□S販売単価,契約開始日,契約終了日,解約日,契約期間数,更新期間数,HARIS伝票区分,受注伝票番号,受注明細番号,□前受注伝票番号,□前受注明細番号
QJ01494022,,,UX142F2,個,1,JPY,0,,2017/4/1,2018/3/31,,12,0,1,1494022,700,,
QJ01494217,,,UX149R1,個,1,JPY,0,,2017/3/30,2018/3/29,,12,0,1,1500447,2900,,
QJ01494218,,,UX149R1,個,1,JPY,0,,2017/4/12,2018/4/11,,12,0,1,1508831,2000,,
QJ01494245,,,UX142F2,個,1,JPY,0,,2017/3/1,2018/2/28,,12,0,1,1502494,800,,
QJ01494245,,,UX142B2,個,1,JPY,0,,2017/3/1,2018/2/28,,12,0,1,1502494,900,,
QJ01494250,,,UX149R1,個,1,JPY,0,,2017/3/29,2018/3/28,,12,0,1,1498154,2100,,
QJ01494257,,,UX142F2,個,1,JPY,0,,2017/3/1,2018/2/28,,12,0,1,1494257,400,,
QJ01494258,,,UX142F2,個,1,JPY,0,,2017/3/1,2018/2/28,,12,0,1,1494258,600,,
QJ01494259,,,UX142F2,個,1,JPY,0,,2017/4/1,2018/3/31,,12,0,1,1494259,800,,
QJ01494260,,,UX142F2,個,1,JPY,0,,2017/4/1,2018/3/31,,12,0,1,1494260,600,,
QJ01494261,,,UX142F2,個,1,JPY,0,,2017/4/1,2018/3/31,,12,0,1,1494261,400,,
QJ01494265,,,UX142F2,個,1,JPY,0,,2017/3/1,2018/2/28,,12,0,1,1494265,800,,
QJ01494270,,,UX142A2,個,1,JPY,0,,2017/4/1,2018/3/31,,12,0,1,1494270,100,,
QJ01494272,,,UX142F2,個,1,JPY,0,,2017/10/1,2018/9/30,,12,0,1,1494272,500,,
QJ01494275,,,UX149R1,個,1,JPY,0,,2017/3/27,2018/3/26,,12,0,1,1497432,1200,,
QJ01494288,,,UX149R1,個,1,JPY,0,,2017/3/29,2018/3/28,,12,0,1,1498192,2000,,
QJ01494289,,,UX149R1,個,1,JPY,0,,2017/3/30,2018/3/29,,12,0,1,1499684,2000,,
QJ01494290,,,UX142F2,個,1,JPY,0,,2017/3/1,2018/2/28,,12,0,1,1494290,800,,
QJ01494290,,,UX142F2,個,1,JPY,0,,2018/3/1,2019/2/28,,12,0,1,1494290,900,,
QJ01494299,,,UX149R1,個,1,JPY,0,,2017/3/27,2018/2/28,,11,0,1,1494299,1700,,
QJ01494355,,,UX142F2,個,1,JPY,0,,2017/3/1,2018/2/28,,12,0,1,1494355,400,,
QJ01494394,,,UX142A2,個,1,JPY,0,,2017/4/1,2018/3/31,,12,0,1,1494394,100,,
QJ01494410,,,UX142F2,個,1,JPY,0,,2017/4/1,2018/3/31,,12,0,1,1494410,500,,
QJ01494425,,,UX142F2,個,1,JPY,0,,2017/4/1,2018/3/31,,12,0,1,1494425,1700,,
QJ01494477,,,UX142F2,個,1,JPY,0,,2017/3/1,2018/2/28,,12,0,1,1494477,400,,
QJ01494540,,,UX142F2,個,1,JPY,0,,2017/3/1,2018/2/28,,12,0,1,1494540,600,,
QJ01494595,,,UX149R1,個,1,JPY,0,,2017/3/31,2018/3/30,,12,0,1,1500743,400,,
QJ01494788,,,UX149R1,個,1,JPY,0,,2017/3/14,2018/3/31,,13,0,1,1496620,2900,,
QJ01494791,,,UX149R1,個,1,JPY,0,,2017/3/20,2018/3/19,,12,0,1,1499870,2000,,
QJ01494809,,,UX149R1,個,1,JPY,0,,2017/4/1,2018/3/31,,12,0,1,1499971,1300,,
QJ01494812,,,UX142G2,個,1,JPY,0,,2017/4/1,2018/3/31,,12,0,1,1494812,100,,
QJ01494812,,,UX14293,個,1,JPY,0,,2017/4/1,2018/3/31,,12,0,1,1494812,200,,
QJ01494819,,,UX14403,個,1,JPY,0,,2017/4/1,2019/10/31,,31,0,1,1494819,100,,
