試算番号（明細）,バージョン1,PLANID,品目コード,基本数量単位,数量,販売伝票通貨,標準単価,□S販売単価,契約開始日,契約終了日,解約日,契約期間数,更新期間数,HARIS伝票区分,受注伝票番号,受注明細番号,□前受注伝票番号,□前受注明細番号
QJ01428351,,,UX149R1,個,1,JPY,0,,2017/1/1,2017/12/31,,12,0,1,1448408,1700,,
QJ01428563,,,UX142E2,個,1,JPY,0,,2016/12/21,2017/12/27,,12,0,1,1436847,1300,,
QJ01428564,,,UX142G2,個,1,JPY,0,,2017/1/1,2017/12/31,,12,0,1,1428564,100,,
QJ01428564,,,UX14293,個,1,JPY,0,,2017/1/1,2017/12/31,,12,0,1,1428564,200,,
QJ01428599,,,UX149R1,個,1,JPY,0,,2016/12/27,2017/12/26,,12,0,1,1436860,1300,,
QJ01428601,,,UX142F2,個,1,JPY,0,,2016/12/1,2017/11/30,,12,0,1,1428601,800,,
QJ01428924,,,UX142F2,個,1,JPY,0,,2016/12/1,2017/11/30,,12,0,1,1428924,400,,
QJ01429021,,,UX149R1,個,1,JPY,0,,2016/12/26,2017/12/25,,12,0,1,1436348,1600,,
QJ01429022,,,UX149R1,個,1,JPY,0,,2016/12/22,2017/12/21,,12,0,1,1436758,1800,,
QJ01429030,,,UX142F2,個,1,JPY,0,,2017/1/1,2017/12/31,,12,0,1,1429030,800,,
QJ01429039,,,UX14455,個,1,JPY,0,,2016/11/1,2017/10/31,,12,0,1,1429039,100,,
QJ01429052,,,UX142F2,個,1,JPY,0,,2017/1/1,2017/12/31,,12,0,1,1429052,400,,
QJ01429057,,,UX14383,個,1,JPY,0,,2017/1/1,2019/4/30,,28,0,1,1429057,100,,
QJ01429058,,,UX142A2,個,1,JPY,0,,2017/1/1,2017/12/31,,12,0,1,1429058,100,,
QJ01429063,,,UX142F2,個,1,JPY,0,,2016/12/1,2017/11/30,,12,0,1,1429063,400,,
QJ01429064,,,UX142F2,個,1,JPY,0,,2016/12/1,2017/11/30,,12,0,1,1429064,900,,
QJ01429067,,,UX142A2,個,1,JPY,0,,2017/1/1,2017/12/31,,12,0,1,1429067,100,,
QJ01429068,,,UX142A2,個,1,JPY,0,,2017/1/1,2017/12/31,,12,0,1,1429068,100,,
QJ01429069,,,UX142A2,個,1,JPY,0,,2016/12/1,2017/11/30,,12,0,1,1429069,100,,
QJ01429069,,,UX142C2,個,25,JPY,0,,2016/12/1,2017/11/30,,12,0,1,1429069,200,,
QJ01429078,,,UX142F2,個,1,JPY,0,,2016/12/1,2017/11/30,,12,0,1,1429078,400,,
QJ01429084,,,UX142F2,個,1,JPY,0,,2017/1/1,2017/12/31,,12,0,1,1429084,400,,
QJ01429217,,,UX142F2,個,1,JPY,0,,2016/12/16,2017/12/15,,12,0,1,1429217,500,,
QJ01429218,,,UX142F2,個,1,JPY,0,,2016/12/1,2017/11/30,,12,0,1,1429218,1400,,
QJ01429219,,,UX142F2,個,1,JPY,0,,2016/12/1,2017/11/30,,12,0,1,1429219,500,,
QJ01429220,,,UX142F2,個,1,JPY,0,,2016/12/1,2017/11/30,,12,0,1,1429220,400,,
QJ01429221,,,UX142F2,個,1,JPY,0,,2016/12/1,2017/11/30,,12,0,1,1429221,500,,
