試算番号（明細）,バージョン1,PLANID,品目コード,基本数量単位,数量,販売伝票通貨,標準単価,□S販売単価,契約開始日,契約終了日,解約日,契約期間数,更新期間数,HARIS伝票区分,受注伝票番号,受注明細番号,□前受注伝票番号,□前受注明細番号
QJ00760070,,,UX14383,個,1,JPY,0,,2014/6/1,2019/5/31,,60,0,1,760070,100,,
QJ00760074,,,UX14413,個,1,JPY,0,,2014/6/1,2018/5/31,,48,0,1,760074,400,,
QJ00760075,,,UX14383,個,1,JPY,0,,2014/5/14,2019/5/13,,60,0,1,760075,100,,
QJ00760085,,,UX142E2,個,1,JPY,0,,2014/6/1,2018/5/31,,48,0,1,760085,400,,
QJ00760355,,,UX14383,個,1,JPY,0,,2014/5/1,2019/4/30,,60,0,1,760355,100,,
QJ00760673,,,UX14383,個,1,JPY,0,,2014/4/1,2019/3/31,,60,0,1,760754,200,,
QJ00760678,,,UX14383,個,1,JPY,0,,2014/5/15,2019/5/14,,60,0,1,760710,200,,
QJ00761085,,,UX142E2,個,1,JPY,0,,2014/6/1,2018/5/31,,48,0,1,761085,1200,,
QJ00761247,,,UX14383,個,1,JPY,0,,2014/6/1,2019/5/31,,60,0,1,775292,1300,,
QJ00761792,,,UX14383,個,1,JPY,0,,2014/4/1,2019/3/31,,60,0,1,761978,100,,
QJ00762091,,,UX141A3,個,1,JPY,0,,2014/4/1,2019/3/31,,60,0,1,762091,100,,
QJ00762091,,,UX14395,個,1,JPY,0,,2014/4/1,2019/3/31,,60,0,1,762091,200,,
QJ00762111,,,UX14403,個,1,JPY,0,,2014/7/1,2019/6/30,,60,0,1,770023,2700,,
QJ00763078,,,UX14383,個,1,JPY,0,,2014/5/12,2019/5/11,,60,0,1,763862,200,,
QJ00763079,,,UX14383,個,1,JPY,0,,2014/4/22,2019/4/21,,60,0,1,764067,200,,
QJ00763080,,,UX14383,個,1,JPY,0,,2014/5/13,2019/5/12,,60,0,1,763869,200,,
QJ00763191,,,UX142H2,個,1,JPY,0,,2014/5/1,2018/4/30,,48,0,1,763191,1100,,
QJ00764658,,,UX14383,個,1,JPY,0,,2014/6/10,2019/6/9,,60,0,1,764658,100,,
QJ00764791,,,UX14413,個,1,JPY,0,,2014/6/3,2018/5/31,,48,0,1,764840,100,,
QJ00765017,,,UX14383,個,1,JPY,0,,2014/6/11,2019/6/10,,60,0,1,775801,1900,,
QJ00765916,,,UX14383,個,1,JPY,0,,2014/7/1,2019/6/30,,60,0,1,765916,3200,,
QJ00766700,,,UX142K3,個,1,JPY,0,,2014/7/1,2019/6/30,,60,0,1,774762,200,,
QJ00766700,,,UX142P3,個,100,JPY,0,,2014/7/1,2019/6/30,,60,0,1,774762,300,,
QJ00766700,,,UX143V3,個,50,JPY,0,,2014/7/1,2019/6/30,,60,0,1,774762,400,,
QJ00766700,,,UX144W3,個,30,JPY,0,,2014/7/1,2019/6/30,,60,0,1,774762,500,,
QJ00766700,,,UX141G3,個,1,JPY,0,,2014/7/1,2019/6/30,,60,0,1,774762,600,,
QJ00766711,,,UX14383,個,1,JPY,0,,2014/6/1,2019/5/31,,60,0,1,767163,100,,
QJ00766727,,,UX14403,個,1,JPY,0,,2014/6/1,2019/5/31,,60,0,1,779042,2000,,
QJ00767205,,,UX14383,個,1,JPY,0,,2014/6/1,2019/5/31,,60,0,1,767312,100,,
QJ00767308,,,UX14413,個,1,JPY,0,,2014/6/1,2018/5/31,,48,0,1,767308,500,,
QJ00767539,,,UX141C3,個,1,JPY,0,,2014/7/15,2019/7/14,,60,0,1,784484,200,,
QJ00767546,,,UX142E2,個,1,JPY,0,,2014/7/1,2018/6/30,,48,0,1,767546,400,,
QJ00769186,,,UX14383,個,1,JPY,0,,2014/7/1,2019/6/30,,60,0,1,784143,2500,,
QJ00769341,,,UX141D3,個,1,JPY,0,,2014/6/17,2019/6/16,,60,0,1,780400,2600,,
QJ00770191,,,UX14383,個,1,JPY,0,,2014/7/1,2019/6/30,,60,0,1,780408,1500,,
QJ00770902,,,UX14393,個,1,JPY,0,,2014/7/1,2019/6/30,,60,0,1,785208,2800,,
QJ00771128,,,UX142K3,個,1,JPY,0,,2014/6/23,2019/6/22,,60,0,1,778040,2600,,
QJ00771128,,,UX143S3,個,20,JPY,0,,2014/6/23,2019/6/22,,60,0,1,778040,2700,,
QJ00771128,,,UX144S3,個,3,JPY,0,,2014/6/23,2019/6/22,,60,0,1,778040,2800,,
QJ00771128,,,UX141G3,個,1,JPY,0,,2014/6/23,2019/6/22,,60,0,1,778040,2900,,
QJ00771128,,,UX141C3,個,1,JPY,0,,2014/7/1,2019/6/30,,60,0,1,778040,3200,,
QJ00772755,,,UX14383,個,1,JPY,0,,2014/6/16,2019/6/15,,60,0,1,772942,100,,
QJ00773133,,,UX14383,個,1,JPY,0,,2014/8/1,2019/7/31,,60,0,1,781625,2000,,
QJ00773334,,,UX14413,個,1,JPY,0,,2014/8/1,2018/7/31,,48,0,1,773548,100,,
QJ00773679,,,UX14393,個,1,JPY,0,,2014/7/21,2019/7/20,,60,0,1,805506,2900,,
QJ00775200,,,UX14393,個,1,JPY,0,,2014/6/1,2019/5/31,,60,0,1,775200,200,,
