試算番号（明細）,バージョン1,PLANID,品目コード,基本数量単位,数量,販売伝票通貨,標準単価,□S販売単価,契約開始日,契約終了日,解約日,契約期間数,更新期間数,HARIS伝票区分,受注伝票番号,受注明細番号,□前受注伝票番号,□前受注明細番号
QJ00016724,,,UXA40T0,個,1,JPY,0,,2011/08/05,2014/08/04,,36,0,1,16724,10,,
QJ00016725,,,UXA40T0,個,1,JPY,0,,2010/08/01,2013/07/31,,36,0,1,16725,10,,
QJ00016726,,,UXA40T0,個,1,JPY,0,,2011/05/01,2014/04/30,,36,0,1,16726,10,,
QJ00016727,,,UXA40T0,個,1,JPY,0,,2010/06/01,2013/05/31,,36,0,1,16727,10,,
QJ00016728,,,UXA40T0,個,1,JPY,0,,2009/10/01,2012/09/30,,36,0,1,16728,10,,
QJ00016729,,,UXA40T0,個,1,JPY,0,,2010/02/01,2013/01/31,,36,0,1,16729,10,,
QJ00016730,,,UXA40T0,個,1,JPY,0,,2010/08/01,2013/07/31,,36,0,1,16730,10,,
QJ00016731,,,UXA40T0,個,1,JPY,0,,2011/07/09,2014/07/08,,36,0,1,16731,10,,
QJ00016732,,,UXA40T0,個,1,JPY,0,,2011/06/01,2014/05/31,,36,0,1,16732,10,,
QJ00016733,,,UXA40T0,個,1,JPY,0,,2010/09/01,2013/08/31,,36,0,1,16733,10,,
QJ00016734,,,UXA40T0,個,1,JPY,0,,2009/09/01,2012/08/31,,36,0,1,16734,10,,
QJ00016735,,,UXA40T0,個,1,JPY,0,,2010/01/01,2012/12/31,,36,0,1,16735,10,,
QJ00016736,,,UXA40T0,個,1,JPY,0,,2010/12/01,2013/11/30,,36,0,1,16736,10,,
QJ00016737,,,UXA40T0,個,1,JPY,0,,2009/09/01,2012/08/31,,36,0,1,16737,10,,
QJ00016738,,,UXA40T0,個,1,JPY,0,,2009/09/01,2012/08/31,,36,0,1,16738,10,,
QJ00016739,,,UXA40T0,個,1,JPY,0,,2009/07/01,2012/06/30,,36,0,1,16739,10,,
QJ00016740,,,UXA40T0,個,1,JPY,0,,2009/08/01,2012/07/31,,36,0,1,16740,10,,
QJ00016741,,,UXA40T0,個,1,JPY,0,,2009/08/01,2012/07/31,,36,0,1,16741,10,,
QJ00016742,,,UXA40T0,個,1,JPY,0,,2009/09/01,2012/08/31,,36,0,1,16742,10,,
QJ00016743,,,UXA40T0,個,1,JPY,0,,2009/09/01,2012/08/31,,36,0,1,16743,10,,
QJ00016744,,,UXA40T0,個,1,JPY,0,,2009/09/01,2012/08/31,,36,0,1,16744,10,,
QJ00016745,,,UXA40T0,個,1,JPY,0,,2009/09/01,2012/08/31,,36,0,1,16745,10,,
QJ00016746,,,UXA40T0,個,1,JPY,0,,2009/09/01,2012/08/31,,36,0,1,16746,10,,
QJ00016747,,,UXA40T0,個,1,JPY,0,,2009/09/01,2012/08/31,,36,0,1,16747,10,,
QJ00016748,,,UXA40T0,個,1,JPY,0,,2009/09/01,2012/08/31,,36,0,1,16748,10,,
QJ00016749,,,UXA40T0,個,1,JPY,0,,2009/09/01,2012/08/31,,36,0,1,16749,10,,
QJ00016750,,,UXA40T0,個,1,JPY,0,,2009/10/01,2012/09/30,,36,0,1,16750,10,,
QJ00016751,,,UXA40T0,個,1,JPY,0,,2009/10/01,2012/09/30,,36,0,1,16751,10,,
QJ00016752,,,UXA40T0,個,1,JPY,0,,2009/11/01,2012/10/31,,36,0,1,16752,10,,
QJ00016753,,,UXA40T0,個,1,JPY,0,,2009/10/01,2012/09/30,,36,0,1,16753,10,,
QJ00016754,,,UXA40T0,個,1,JPY,0,,2009/10/01,2012/09/30,,36,0,1,16754,10,,
QJ00016755,,,UXA40T0,個,1,JPY,0,,2009/09/01,2012/08/31,,36,0,1,16755,10,,
QJ00016756,,,UXA40T0,個,1,JPY,0,,2009/11/01,2012/10/31,,36,0,1,16756,10,,
QJ00016757,,,UXA40T0,個,1,JPY,0,,2009/11/01,2012/10/31,,36,0,1,16757,10,,
QJ00016758,,,UXA40T0,個,1,JPY,0,,2009/10/01,2012/09/30,,36,0,1,16758,10,,
QJ00016759,,,UXA40T0,個,1,JPY,0,,2009/11/01,2012/10/31,,36,0,1,16759,10,,
QJ00016760,,,UXA40T0,個,1,JPY,0,,2009/11/01,2012/10/31,,36,0,1,16760,10,,
QJ00016761,,,UXA40T0,個,1,JPY,0,,2009/11/01,2012/10/31,,36,0,1,16761,10,,
QJ00016762,,,UXA40T0,個,1,JPY,0,,2009/11/01,2012/10/31,,36,0,1,16762,10,,
QJ00016763,,,UXA40T0,個,1,JPY,0,,2009/11/01,2012/10/31,,36,0,1,16763,10,,
QJ00016764,,,UXA40T0,個,1,JPY,0,,2009/11/01,2012/10/31,,36,0,1,16764,10,,
QJ00016765,,,UXA40T0,個,1,JPY,0,,2009/11/01,2012/10/31,,36,0,1,16765,10,,
QJ00016766,,,UXA40T0,個,1,JPY,0,,2009/12/01,2012/11/30,,36,0,1,16766,10,,
QJ00016767,,,UXA40T0,個,1,JPY,0,,2010/03/01,2013/02/28,,36,0,1,16767,10,,
QJ00016768,,,UXA40T0,個,1,JPY,0,,2009/12/01,2012/11/30,,36,0,1,16768,10,,
QJ00016769,,,UXA40T0,個,1,JPY,0,,2009/12/01,2012/11/30,,36,0,1,16769,10,,
QJ00016770,,,UXA40T0,個,1,JPY,0,,2009/12/01,2012/11/30,,36,0,1,16770,10,,
QJ00016771,,,UXA40T0,個,1,JPY,0,,2009/12/01,2012/11/30,,36,0,1,16771,10,,
QJ00016772,,,UXA40T0,個,1,JPY,0,,2009/12/01,2012/11/30,,36,0,1,16772,10,,
QJ00016773,,,UXA40T0,個,1,JPY,0,,2010/01/01,2012/12/31,,36,0,1,16773,10,,
QJ00016774,,,UXA40T0,個,1,JPY,0,,2010/02/01,2013/01/31,,36,0,1,16774,10,,
QJ00016775,,,UXA40T0,個,1,JPY,0,,2010/01/01,2012/12/31,,36,0,1,16775,10,,
QJ00016776,,,UXA40T0,個,1,JPY,0,,2010/02/01,2013/01/31,,36,0,1,16776,10,,
QJ00016777,,,UXA40T0,個,1,JPY,0,,2010/02/01,2013/01/31,,36,0,1,16777,10,,
QJ00016778,,,UXA40T0,個,1,JPY,0,,2010/02/01,2013/01/31,,36,0,1,16778,10,,
QJ00016779,,,UXA40T0,個,1,JPY,0,,2010/02/01,2013/01/31,,36,0,1,16779,10,,
QJ00016780,,,UXA40T0,個,1,JPY,0,,2010/02/01,2013/01/31,,36,0,1,16780,10,,
QJ00016781,,,UXA40T0,個,1,JPY,0,,2010/02/01,2013/01/31,,36,0,1,16781,10,,
QJ00016782,,,UXA40T0,個,1,JPY,0,,2010/03/01,2013/02/28,,36,0,1,16782,10,,
QJ00016783,,,UXA40T0,個,1,JPY,0,,2010/03/01,2013/02/28,,36,0,1,16783,10,,
QJ00016784,,,UXA40T0,個,1,JPY,0,,2010/02/01,2013/01/31,,36,0,1,16784,10,,
QJ00016785,,,UXA40T0,個,1,JPY,0,,2010/03/01,2013/02/28,,36,0,1,16785,10,,
QJ00016786,,,UXA40T0,個,1,JPY,0,,2010/03/01,2013/02/28,,36,0,1,16786,10,,
QJ00016787,,,UXA40T0,個,1,JPY,0,,2010/03/01,2013/02/28,,36,0,1,16787,10,,
QJ00016788,,,UXA40T0,個,1,JPY,0,,2010/03/01,2013/02/28,,36,0,1,16788,10,,
QJ00016789,,,UXA40T0,個,1,JPY,0,,2010/03/01,2013/02/28,,36,0,1,16789,10,,
QJ00016790,,,UXA40T0,個,1,JPY,0,,2010/03/01,2013/02/28,,36,0,1,16790,10,,
QJ00016791,,,UXA40T0,個,1,JPY,0,,2010/03/01,2013/02/28,,36,0,1,16791,10,,
QJ00016792,,,UXA40T0,個,1,JPY,0,,2010/03/01,2013/02/28,,36,0,1,16792,10,,
QJ00016793,,,UXA40T0,個,1,JPY,0,,2010/03/01,2013/02/28,,36,0,1,16793,10,,
QJ00016794,,,UXA40T0,個,1,JPY,0,,2010/03/01,2013/02/28,,36,0,1,16794,10,,
QJ00016795,,,UXA40T0,個,1,JPY,0,,2010/03/01,2013/02/28,,36,0,1,16795,10,,
QJ00016796,,,UXA40T0,個,1,JPY,0,,2010/03/01,2013/02/28,,36,0,1,16796,10,,
QJ00016797,,,UXA40T0,個,1,JPY,0,,2010/03/01,2013/02/28,,36,0,1,16797,10,,
